,,,ISO-3 Code,AFG,ALB,DZA,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,LCA,VCT,WSM,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Chagas disease,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,0.0,.,.,0.4,.,.,5.4,.,.,.,.,.,.,.,.,.,.,0.1,.,0.2,.,.,0.0,.,.,.,.,.,.,.,.,.,.,0.0,.,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,0.0,.,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,0.0,.,.,.,.,.,0.0,.,0.0,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,0.9,.,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Schistosomiasis,.,.,0.1,0.7,0.0,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,0.0,0.6,.,.,0.6,0.2,0.0,0.7,.,.,0.1,0.4,.,0.1,.,.,0.1,.,1.2,.,.,.,.,.,1.3,.,0.0,0.0,.,0.5,.,0.0,0.1,.,1.8,.,.,.,0.0,0.0,.,.,0.8,.,.,.,0.4,0.0,.,.,.,.,.,.,0.0,.,0.0,.,.,.,.,.,0.0,.,0.7,.,.,.,0.0,.,.,.,0.1,0.0,.,.,0.3,0.2,.,.,0.4,.,0.1,0.0,.,.,.,.,0.1,0.6,.,0.0,.,.,.,.,0.4,5.6,.,0.0,.,.,.,.,.,0.3,.,.,.,.,.,.,.,0.2,0.0,.,.,0.0,0.0,0.3,.,.,0.4,.,.,.,.,0.2,0.5,0.3,.,.,0.7,0.0,0.0,.,.,0.0,.,.,.,.,0.2,.,.,.,.,.,0.6,.,.,.,0.9,.,.,.,.,0.0,.,0.1,0.2,0.1,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Leishmaniasis,0.1,0.0,0.1,0.0,.,0.0,0.0,.,.,0.0,.,.,1.0,.,.,.,.,.,0.0,0.0,0.0,.,0.4,.,.,0.0,.,.,0.0,.,.,0.0,0.0,.,0.3,0.0,.,.,0.0,0.0,0.0,.,.,.,.,0.0,.,0.0,.,0.0,0.0,0.0,.,0.0,.,0.9,.,.,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,.,0.0,0.0,.,.,12.1,.,0.1,0.2,.,0.0,0.0,.,.,0.0,0.0,0.0,.,.,0.0,.,.,0.0,.,.,0.0,.,.,.,0.0,.,.,0.0,0.0,.,.,0.0,.,0.0,0.0,0.0,0.1,0.0,.,0.3,.,.,0.0,0.0,0.0,.,0.0,0.7,0.0,.,0.0,0.0,.,.,0.0,.,.,.,.,.,.,.,.,.,.,0.0,0.0,.,.,.,.,.,.,.,0.1,.,2.0,0.0,0.0,2.3,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.1,.,.,.,0.1,.,.,0.0,.,0.0,0.0,0.0,0.0,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,lymphatic filariasis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Onchocerciasis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Cysticercosis,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.5,0.0,0.0,0.1,0.4,0.0,1.7,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.1,0.0,0.0,0.0,0.2,4.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Echinococcosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.4,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.1,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,.,0.0,0.1,.,0.0,.,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,.,0.0,0.1,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.1,0.0,0.1,0.1,0.0,.,0.0,0.0,0.0,0.1,.,0.0,0.3,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Dengue,0.0,.,.,0.0,0.0,0.0,.,0.0,.,.,0.0,.,0.1,0.0,.,.,0.0,0.0,0.0,0.0,.,.,0.6,0.0,.,0.0,0.0,0.1,0.0,.,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,.,0.0,.,.,.,0.1,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,.,0.0,0.0,.,.,0.0,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,.,.,20.2,8.1,.,.,.,.,.,0.0,.,.,.,0.0,0.0,.,.,0.1,.,.,.,0.0,.,.,.,0.0,0.0,0.2,0.0,0.0,.,0.0,0.0,0.1,0.0,.,.,.,0.0,0.5,.,0.0,.,.,0.0,0.0,0.2,.,.,0.2,0.0,0.0,0.0,0.0,2.1,.,.,.,.,.,.,.,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,.,.,0.0,0.0,.,0.0,.,0.2,0.0,0.0,.,.,.,.,.,0.2,.,0.0,0.0,0.0,0.0,.,.,.,0.0,.,.,.,0.0,0.0,.,.,0.0,0.1,0.3,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Trachoma,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Yellow fever,.,.,.,0.4,.,0.2,.,.,.,.,.,.,.,.,.,.,.,0.1,.,0.0,.,.,0.0,.,.,0.4,0.4,.,0.1,.,.,0.0,0.2,.,.,0.0,.,0.1,.,0.2,.,.,.,.,.,0.5,.,.,.,0.0,.,.,0.0,0.0,.,1.0,.,.,.,0.0,0.0,.,.,0.1,.,.,.,0.2,0.0,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,0.1,.,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,4.3,.,.,.,0.0,.,0.0,0.1,.,.,.,.,.,.,.,.,0.0,.,.,.,0.0,.,0.1,.,.,0.4,.,.,.,.,0.0,.,0.2,.,.,1.7,0.0,.,.,.,.,.,.,.,.,0.0,.,0.0,.,.,.,0.2,.,.,.,0.1,.,.,.,.,0.0,.,.,0.0,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Rabies,0.6,.,0.1,0.4,.,0.0,.,0.0,.,0.0,.,.,1.0,.,0.0,.,.,0.0,0.0,0.0,.,.,0.0,.,.,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.5,0.0,0.9,0.0,0.0,0.0,.,0.4,.,.,.,.,0.0,0.6,.,0.0,0.0,0.0,0.0,0.0,0.0,0.1,.,1.9,.,.,0.0,0.0,0.0,0.0,0.0,0.1,.,.,0.0,0.2,0.0,.,0.1,0.0,.,.,6.3,0.9,0.0,0.0,.,.,0.0,.,0.0,.,0.0,0.1,.,.,0.0,0.1,.,.,0.0,0.0,.,.,.,0.2,0.0,0.0,.,0.2,.,0.0,.,0.0,.,.,.,0.0,0.3,0.6,.,0.3,0.0,.,.,0.7,3.0,.,.,1.4,.,0.0,0.0,0.0,0.6,0.0,.,.,0.0,.,0.0,0.0,0.0,.,.,.,.,0.0,0.1,.,.,0.1,.,.,.,.,0.4,0.1,0.2,0.0,0.0,0.9,.,0.0,.,.,0.0,0.0,0.0,.,0.0,0.1,.,.,0.0,0.1,0.0,0.3,0.0,.,0.0,0.3,0.0,.,0.0,.,0.0,0.3,0.1,0.1,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,,0.2,.,0.0,0.1,.,0.0,0.0,.,.,0.0,.,.,0.1,.,.,.,0.0,0.0,0.0,0.0,.,0.0,0.0,.,.,0.0,0.0,0.1,0.1,.,.,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,0.1,0.2,.,0.0,.,0.0,0.0,0.0,0.0,0.0,.,0.1,0.0,.,.,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.5,0.0,0.0,0.0,.,.,.,0.0,.,0.0,0.0,0.0,.,.,0.0,0.1,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,0.0,.,0.0,.,0.0,0.0,0.0,.,0.0,0.0,0.4,0.0,0.0,.,.,0.0,0.0,0.7,.,0.0,0.1,0.0,0.0,0.0,0.0,0.1,.,.,.,0.1,.,.,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,.,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.5,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,0.0,.,.,.,0.0,0.0,0.7,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Ascariasis,0.2,.,0.0,0.1,.,0.0,0.0,.,.,0.0,.,.,0.0,.,.,.,0.0,0.0,0.0,0.0,.,0.0,0.0,.,.,0.0,0.0,0.0,0.1,.,.,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,0.0,0.2,.,0.0,.,0.0,0.0,0.0,0.0,0.0,.,0.1,0.0,.,.,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.5,0.0,0.0,0.0,.,.,.,0.0,.,0.0,0.0,0.0,.,.,0.0,0.0,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,0.0,.,0.0,.,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.7,.,0.0,0.1,0.0,0.0,0.0,0.0,0.1,.,.,.,.,.,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,.,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Trichuriasis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Hookworm disease,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Food-bourne trematodes,.,.,.,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,4.3,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,.,.,0.1,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Leprosy,,0.0,0.0,.,0.1,.,0.0,.,0.0,.,.,.,0.0,0.3,0.0,.,.,0.0,0.1,0.0,0.0,.,0.0,1.5,0.0,.,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.1,.,0.0,.,.,.,0.3,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.2,0.0,.,.,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,.,.,8.3,0.9,0.0,0.0,.,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,.,.,0.2,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,0.0,0.2,0.4,0.0,0.1,.,0.0,0.0,0.1,0.3,.,0.0,0.1,0.0,0.0,0.0,0.0,0.1,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,.,0.0,0.0,.,0.1,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Other infectious diseases,,1.0,0.0,0.3,4.0,0.0,0.3,0.0,1.7,0.2,0.1,0.0,0.0,14.5,0.0,0.0,1.0,0.0,1.0,0.1,0.1,0.0,0.1,15.3,0.0,0.0,3.6,1.3,1.2,2.5,3.2,0.0,0.5,1.8,1.0,7.1,1.9,0.1,0.2,0.1,3.8,0.2,0.2,0.1,1.5,0.1,8.1,0.4,0.1,0.1,0.9,1.4,0.1,0.1,0.2,0.0,6.5,0.0,0.2,4.6,0.1,0.2,0.0,6.6,1.6,0.0,0.0,1.0,2.1,0.0,0.1,0.3,0.1,0.1,0.0,46.8,13.1,0.3,0.4,0.1,0.9,7.9,0.2,10.8,0.0,0.3,3.2,0.0,0.0,0.1,0.5,0.1,0.0,0.1,0.4,0.0,0.5,0.0,2.0,0.8,0.7,0.0,1.4,0.0,0.3,0.1,4.7,0.0,0.0,0.0,0.4,2.7,4.1,0.1,2.1,1.7,0.1,0.0,1.5,23.5,0.4,0.1,15.5,0.3,0.3,0.0,0.3,7.8,0.1,0.8,0.0,3.2,0.0,1.2,0.6,0.7,0.0,0.0,0.0,0.0,0.2,0.7,0.3,0.0,2.5,0.1,0.2,0.1,0.0,1.2,1.9,0.8,2.9,1.0,1.9,0.0,0.0,0.9,0.2,0.2,0.3,5.0,0.0,0.1,0.6,0.0,0.1,0.1,1.1,0.1,3.2,0.4,0.0,3.2,4.0,22.8,0.2,1.1,0.0,1.1,2.9,0.8,1.0,0.3,,,
"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,,,23.9,0.4,10.0,45.3,0.0,29.8,0.4,4.2,0.9,1.8,0.1,0.1,30.5,0.3,0.7,6.2,0.1,12.2,0.3,7.3,0.5,1.2,86.2,0.1,1.8,17.7,11.5,6.1,25.4,6.4,0.3,7.0,28.4,5.0,217.7,9.0,0.7,2.9,0.7,32.8,0.6,6.1,0.1,3.3,5.8,84.7,2.2,0.7,2.3,5.6,22.1,2.6,0.9,3.4,0.2,69.2,0.3,0.3,21.2,1.3,1.9,0.6,23.5,24.7,3.2,0.1,8.1,14.5,2.0,0.3,8.1,1.0,1.1,0.1,650.0,56.8,11.2,8.2,1.2,2.4,13.9,0.6,146.1,1.1,4.7,27.0,0.1,0.6,0.8,3.9,0.4,0.5,1.9,3.9,1.3,0.6,0.1,14.7,11.9,16.2,0.0,14.9,0.2,3.8,0.3,21.6,0.0,0.4,0.1,10.4,22.4,21.0,1.6,10.6,5.4,0.9,1.3,28.0,306.0,2.0,0.7,84.1,0.9,4.9,1.8,24.6,76.1,11.9,8.2,0.1,16.6,1.1,7.1,52.2,6.7,0.1,0.1,0.1,0.1,6.8,9.3,1.3,0.1,10.3,5.3,1.9,0.8,0.2,19.8,35.4,14.3,11.3,5.3,24.1,0.2,0.9,3.6,1.9,2.8,3.8,60.3,0.1,0.9,7.3,0.0,0.4,3.6,10.9,1.7,28.5,5.3,0.4,32.2,39.2,80.7,1.6,7.4,0.1,6.2,20.1,10.5,11.5,11.6,,,
"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Lower respiratory infections,,23.8,0.4,9.9,45.1,0.0,29.8,0.4,4.2,0.9,1.8,0.1,0.1,30.4,0.3,0.7,6.1,0.1,12.2,0.3,7.3,0.5,1.2,85.9,0.1,1.8,17.6,11.4,6.1,25.3,6.4,0.3,7.0,28.4,5.0,217.1,9.0,0.7,2.9,0.7,32.7,0.6,6.0,0.1,3.3,5.7,84.3,2.2,0.7,2.3,5.6,22.1,2.6,0.9,3.4,0.2,68.9,0.3,0.3,21.1,1.3,1.9,0.6,23.4,24.7,3.2,0.1,8.1,14.5,2.0,0.3,8.0,1.0,1.1,0.1,648.2,56.6,11.2,8.2,1.2,2.4,13.8,0.6,145.9,1.1,4.7,26.9,0.1,0.6,0.8,3.9,0.4,0.5,1.9,3.9,1.3,0.6,0.1,14.6,11.8,16.2,0.0,14.9,0.2,3.8,0.3,21.5,0.0,0.4,0.1,10.4,22.2,21.0,1.6,10.5,5.3,0.9,1.3,27.9,305.5,2.0,0.7,83.9,0.9,4.8,1.8,24.6,76.0,11.9,8.1,0.1,16.5,1.1,7.1,52.1,6.7,0.1,0.1,0.1,0.1,6.8,9.3,1.3,0.1,10.3,5.3,1.9,0.7,0.2,19.7,35.3,14.3,11.2,5.3,24.0,0.2,0.9,3.6,1.9,2.8,3.8,60.3,0.1,0.9,7.3,0.0,0.4,3.6,10.8,1.7,28.4,5.3,0.4,32.1,39.0,80.5,1.6,7.3,0.1,6.2,20.0,10.5,11.5,11.6,,,
"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Upper respiratory infections,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
